id,uf,idade,sexo,cor_raca,escolaridade,contra_aborto,votou_bolsonato_1t_2018
R_3fN4HUZbKwinxaB,CE,25 a 34 anos,Mulher,Parda,Médio,1,0
R_cUrJkO6kCC8rEhX,AM,25 a 34 anos,Mulher,Parda,Médio,1,1
R_1ovjqaf3IVoCT9K,SP,18 a 24 anos,Mulher,Branca,Fundamental,0,0
R_XhUTc4wCkKDvpy9,BA,18 a 24 anos,Homem,Preta,Superior,0,0
R_1IMo70AMllKuskN,PA,45 a 59 anos,Mulher,Branca,Superior,0,0
R_1kYLddfpqEdTTWX,SP,25 a 34 anos,Mulher,Branca,Superior,0,0
R_2s0lvQaBQWwcrcM,SP,18 a 24 anos,Mulher,Parda,Médio,1,1
R_VUPcEZuzDhn6Ail,SP,60 anos ou mais,Mulher,Parda,Superior,1,1
R_UWmRnNQINnU9NsZ,SP,45 a 59 anos,Homem,Branca,Superior,0,1
R_R4Wcp72YzMFNKZr,PE,35 a 44 anos,Mulher,Outras,Fundamental,0,0
R_3qpWGw84vBiwc5p,MG,18 a 24 anos,Mulher,Branca,Superior,1,1
R_3RxU63xvAinehyg,MS,25 a 34 anos,Mulher,Parda,Superior,0,1
R_QocgkkkAwzKbA2J,RO,25 a 34 anos,Mulher,Branca,Médio,1,1
R_2frNBOcqkVd5BYr,RJ,25 a 34 anos,Mulher,Parda,Superior,1,0
R_3sv55XZLYtRe9uQ,MG,18 a 24 anos,Mulher,Branca,Superior,0,0
R_1GP5HzalYEc83sR,CE,45 a 59 anos,Homem,Branca,Médio,0,1
R_9t1UwKXhVbNXINX,PA,45 a 59 anos,Mulher,Parda,Superior,0,1
R_42heAtVgs91Oszn,PE,18 a 24 anos,Mulher,Parda,Superior,0,0
R_Or0LFWMj3PboglX,BA,45 a 59 anos,Mulher,Branca,Médio,0,1
R_2Qoi6O8rvKzrgE8,RJ,25 a 34 anos,Mulher,Branca,Superior,0,0
R_VVlF1lwzyZqd1UR,MG,35 a 44 anos,Mulher,Parda,Superior,1,1
R_2DY3aYC21vZPe1R,RJ,35 a 44 anos,Mulher,Parda,Superior,0,0
R_2TGndoWaaQuiv7E,MG,18 a 24 anos,Homem,Parda,Superior,0,0
R_887eJjClxeEag81,ES,25 a 34 anos,Mulher,Parda,Superior,0,1
R_2XamNzngVpXGqQC,RJ,45 a 59 anos,Homem,Preta,Médio,0,0
R_3saddf7XplWoB8y,PA,18 a 24 anos,Homem,Parda,Superior,0,0
R_3foDyeHEnyPRRxn,RS,18 a 24 anos,Mulher,Branca,Superior,0,0
R_1CHXWcBib8fQnEL,BA,18 a 24 anos,Mulher,Parda,Médio,1,0
R_3fruJ6f2vaWJ1J4,MG,45 a 59 anos,Mulher,Parda,Médio,1,0
R_2aRbg37bi7ipUFL,RN,18 a 24 anos,Mulher,Branca,Médio,1,0
R_1GPLNtyezpmCmKg,PE,35 a 44 anos,Mulher,Parda,Médio,1,1
R_TpIs1r9gDavkLfP,SC,18 a 24 anos,Mulher,Branca,Médio,1,1
R_211HVlmBkAK8vce,GO,18 a 24 anos,Mulher,Branca,Médio,0,0
R_pmkLeFuMfnfrg0F,DF,25 a 34 anos,Mulher,Parda,Superior,0,1
R_1CeJ2CBKJCsdpS4,MG,45 a 59 anos,Homem,Parda,Médio,0,1
R_cMES810XujBx8hX,BA,18 a 24 anos,Mulher,Parda,Médio,0,0
R_3fV6MH75JvfBXmx,RJ,35 a 44 anos,Homem,Preta,Superior,0,1
R_pRxoJML37WsTXLb,SP,45 a 59 anos,Mulher,Branca,Superior,0,0
R_yEowbOCECgq06Sl,RJ,25 a 34 anos,Mulher,Branca,Fundamental,1,1
R_21ojvY68L7lpgyd,BA,18 a 24 anos,Mulher,Preta,Médio,1,0
R_1jP9yzL3oa5KY9d,AL,18 a 24 anos,Mulher,Preta,Superior,0,0
R_3G3A1MdPw95yPag,PE,45 a 59 anos,Mulher,Outras,Médio,0,1
R_3NWlEBZtHFprRRI,SP,25 a 34 anos,Mulher,Branca,Superior,0,1
R_Tnp9YAgeOFBZr4R,MG,35 a 44 anos,Mulher,Preta,Médio,1,0
R_1PZRrUXVcbyWScr,AP,18 a 24 anos,Mulher,Preta,Superior,0,0
R_3snY27c6PaPCuPz,RJ,45 a 59 anos,Mulher,Outras,Superior,1,1
R_1CBnUYWrzRQAFQm,BA,25 a 34 anos,Mulher,Parda,Médio,0,0
R_2ru0WEk7cNTDMKh,SP,25 a 34 anos,Mulher,Parda,Superior,0,0
R_0VZ07FVjoOn97MZ,PA,35 a 44 anos,Homem,Parda,Superior,0,0
R_3fDUyMbWarjycub,SP,25 a 34 anos,Mulher,Parda,Superior,0,0
R_3frSbe9JVAVuAac,SP,18 a 24 anos,Homem,Parda,Superior,0,0
R_2zSEozdEhmhhdAl,SP,18 a 24 anos,Mulher,Preta,Superior,0,0
R_3fvEmnLjkvDFXMF,MA,25 a 34 anos,Mulher,Preta,Superior,0,0
R_vr7R2FAOo2eOpsB,CE,18 a 24 anos,Homem,Parda,Superior,0,0
R_10Uj3Rc3c2segpj,RJ,18 a 24 anos,Mulher,Parda,Médio,0,0
R_2WSiFkRmgvnUi1m,PB,25 a 34 anos,Mulher,Parda,Médio,0,0
R_2zRYM28PVXTz2CS,MG,35 a 44 anos,Homem,Parda,Superior,0,1
R_2eQLkNv7jPJ2vQb,SP,35 a 44 anos,Mulher,Branca,Médio,1,1
R_2Y5GI8rT54dLyOE,RJ,45 a 59 anos,Mulher,Branca,Superior,0,0
R_PRo77d7DcugSOmR,RJ,45 a 59 anos,Homem,Outras,Médio,0,1
R_Ad3i0o1Zsj7dF2p,SP,60 anos ou mais,Mulher,Branca,Superior,0,0
R_2ur3hgTXQghkCp0,MG,45 a 59 anos,Mulher,Parda,Médio,0,0
R_54R6qwNS4zJ5rjj,PE,18 a 24 anos,Mulher,Outras,Médio,0,0
R_pmALmpsW8Z3lYeB,SP,18 a 24 anos,Mulher,Parda,Superior,0,0
R_3fdaKqfn6dfDws4,MA,18 a 24 anos,Mulher,Parda,Superior,0,0
R_0wYRINuK5LP192V,SP,45 a 59 anos,Mulher,Branca,Superior,1,1
R_2uOkDjpLdwpZOtd,AL,25 a 34 anos,Mulher,Parda,Superior,0,0
R_ZC4j0Q9wwFoW8jn,BA,18 a 24 anos,Mulher,Preta,Superior,0,0
R_32X8zs2KF7ruyzW,RJ,35 a 44 anos,Mulher,Branca,Superior,0,0
R_3L24yt9uJj8lWkK,BA,18 a 24 anos,Mulher,Branca,Superior,1,0
R_11j7XAvHIwHDsKP,PR,25 a 34 anos,Mulher,Branca,Médio,1,0
R_3iImDWqip7iIVuc,BA,18 a 24 anos,Homem,Parda,Superior,0,0
R_2UVp767I768AXWt,DF,18 a 24 anos,Homem,Outras,Superior,0,0
R_2zY10jHoS7Rr39X,CE,35 a 44 anos,Mulher,Parda,Superior,0,0
R_2zG4EzDhgWiDaMp,GO,18 a 24 anos,Homem,Parda,Superior,0,1
R_1qWF14Xn4wYw0FC,CE,18 a 24 anos,Mulher,Branca,Médio,0,0
R_8IIylHdDvDDNNyp,RJ,25 a 34 anos,Mulher,Branca,Superior,0,0
R_2TI5SfU02W9vK65,SP,25 a 34 anos,Homem,Parda,Superior,1,1
R_1mydKHsS5BeYZpc,PR,18 a 24 anos,Homem,Branca,Superior,0,0
R_1mq7eoGcmr3cPVJ,RS,25 a 34 anos,Mulher,Branca,Superior,0,1
R_2aPpsCjsX4Z6p1b,PE,45 a 59 anos,Mulher,Preta,Superior,1,0
R_Y4wqhYuU3UV3BaF,RO,25 a 34 anos,Homem,Parda,Médio,1,1
R_3sz5OYU9xvEFblz,MG,45 a 59 anos,Mulher,Branca,Fundamental,1,1
R_Rq3XrrYgsmBT4ad,RJ,45 a 59 anos,Mulher,Branca,Superior,0,0
R_3lt3PcGaVzfpZoZ,MT,18 a 24 anos,Homem,Branca,Superior,0,1
R_2DSmejhNOgNa3eI,BA,35 a 44 anos,Homem,Parda,Superior,0,0
R_2Sc6pUtmrHvGRoz,GO,18 a 24 anos,Mulher,Preta,Médio,0,1
R_31Nq1GbrRO79oAN,AL,25 a 34 anos,Homem,Preta,Superior,0,0
R_3qpxAHGmh5poBaS,PA,45 a 59 anos,Homem,Parda,Superior,1,0
R_2E3HR6z3UDv1Hy5,PE,45 a 59 anos,Homem,Parda,Superior,1,0
R_1LFZYXOhTiJKhxl,RN,18 a 24 anos,Mulher,Branca,Superior,0,0
R_egM8nOAIrG2cLmh,SP,45 a 59 anos,Homem,Branca,Fundamental,1,1
R_2TMFhTcAyO6H0uH,SP,18 a 24 anos,Mulher,Branca,Superior,0,0
R_e2wFFEBGXWEjpPX,AL,45 a 59 anos,Homem,Parda,Superior,1,0
R_3nruj8bjo3ilfNl,SP,25 a 34 anos,Homem,Branca,Superior,0,0
R_2q1O9RXqXMwd76x,SC,35 a 44 anos,Homem,Branca,Médio,0,1
R_1OVVyosMBTT9FFx,MG,25 a 34 anos,Homem,Outras,Médio,0,1
R_Xtu9GEVgEBP5vix,ES,18 a 24 anos,Homem,Parda,Médio,0,1
R_6L7Y7rZ7hZhcUjn,PR,25 a 34 anos,Mulher,Parda,Superior,0,0
R_3ER3gvE6PsFrKcm,SP,18 a 24 anos,Mulher,Branca,Superior,0,1
R_3HTcjScN2ajXgLC,BA,18 a 24 anos,Mulher,Parda,Superior,1,0
R_2zqer19HGOblcEU,SP,35 a 44 anos,Homem,Preta,Superior,0,0
R_5hglgaaX53MM65P,BA,35 a 44 anos,Mulher,Preta,Médio,0,0
R_3fTznfPgkTGLKig,MG,45 a 59 anos,Homem,Branca,Fundamental,1,1
R_22tNnufvryUWsEo,SP,18 a 24 anos,Mulher,Parda,Médio,1,0
R_CgDyng4WLOGxEQh,RN,18 a 24 anos,Homem,Branca,Médio,0,0
R_32Rgmvmt8xhOxf3,BA,18 a 24 anos,Mulher,Preta,Superior,0,0
R_3D8yjzBFB4z6jRQ,RS,45 a 59 anos,Mulher,Branca,Superior,1,0
R_2dEXwBupRwIEb7l,SP,35 a 44 anos,Mulher,Parda,Médio,1,1
R_3OigwoL6CpZjQWy,SP,18 a 24 anos,Mulher,Parda,Médio,0,0
R_6FLZFhrQBLNk3PH,SP,18 a 24 anos,Mulher,Parda,Superior,0,0
R_3D795DmdIW8Kcb9,RJ,35 a 44 anos,Mulher,Branca,Superior,0,0
R_2PsPW8XueMvYEU7,SP,35 a 44 anos,Mulher,Parda,Médio,0,1
R_3j1D6Zmw18Sv3Tc,MG,18 a 24 anos,Mulher,Parda,Superior,0,1
R_0NkdEBN1b7megbD,PE,35 a 44 anos,Homem,Parda,Superior,0,0
R_9zCrBxD7UjMR2sp,PE,18 a 24 anos,Homem,Branca,Superior,0,0
R_2RU4LIFcha1cSU2,MG,18 a 24 anos,Mulher,Branca,Médio,1,1
R_dbE2G4fUF8HAANz,CE,18 a 24 anos,Homem,Preta,Médio,1,0
R_2SqzVD8KAFXJQnR,SP,35 a 44 anos,Mulher,Parda,Médio,0,0
R_8ljJMOEToiTVXeF,PR,18 a 24 anos,Homem,Branca,Superior,0,0
R_1hRmTQ47uM2t8hU,PB,25 a 34 anos,Homem,Parda,Superior,1,0
R_3kunFznFcwYSwdK,RJ,25 a 34 anos,Mulher,Parda,Superior,0,0
R_1OHPaBZRMFAkCwJ,RJ,45 a 59 anos,Homem,Parda,Médio,1,1
R_3njHyEnjjIhU6Eg,RS,18 a 24 anos,Homem,Preta,Superior,0,0
R_2QglhqrQ3s2lFGm,MG,25 a 34 anos,Mulher,Preta,Médio,0,0
R_2e9BwcNPoeivB5C,RJ,25 a 34 anos,Mulher,Branca,Médio,0,0
R_232B0YXFbvBNQ7t,RJ,18 a 24 anos,Homem,Parda,Médio,0,0
R_1d4BGvGhR2rA1md,MS,25 a 34 anos,Mulher,Parda,Superior,1,1
R_3GrcowSlr91DLOg,SP,45 a 59 anos,Mulher,Outras,Superior,0,0
R_1Op22x3GGDSEXcq,CE,18 a 24 anos,Mulher,Parda,Médio,0,0
R_QcvR1xvoKb1IXrr,BA,18 a 24 anos,Mulher,Parda,Médio,0,0
R_1jeuwYj5PQIZIA9,ES,35 a 44 anos,Mulher,Branca,Superior,0,0
R_31SoEpYjbLbAJOg,SE,18 a 24 anos,Mulher,Preta,Médio,1,0
R_2ZK1k6p6NcYCD1p,MG,18 a 24 anos,Mulher,Parda,Superior,0,1
R_3GDOXRfN0EW2kvf,SC,18 a 24 anos,Mulher,Parda,Médio,0,1
R_1290XUbSylWd1JV,PE,45 a 59 anos,Mulher,Parda,Médio,0,0
R_2TFqzmnPBP1ZCME,BA,18 a 24 anos,Mulher,Branca,Médio,0,0
R_12A9bPnN8sZsW4F,SC,25 a 34 anos,Mulher,Parda,Superior,0,0
R_6nBLYORvu2vvHoJ,RS,35 a 44 anos,Homem,Parda,Superior,0,0
R_3Jw17SrItr8iXl6,PR,18 a 24 anos,Mulher,Parda,Superior,0,0
R_DiW6QWdx3YoQNRD,MT,18 a 24 anos,Mulher,Parda,Médio,1,0
R_2y12GNAbKqq5sXU,SP,25 a 34 anos,Mulher,Branca,Superior,0,0
R_1js796hyKIKCBqT,BA,45 a 59 anos,Mulher,Parda,Superior,1,0
R_u3amhk4W9gZ1mVP,RJ,45 a 59 anos,Mulher,Outras,Médio,0,0
R_1LInrOq9xdymnIi,SP,35 a 44 anos,Homem,Parda,Superior,0,0
R_USfZ7iLQFGqicSd,CE,25 a 34 anos,Mulher,Preta,Superior,1,0
R_2t4gZdKVNVH46FK,SP,25 a 34 anos,Mulher,Branca,Fundamental,1,1
R_3e92IFIQX7M671w,RN,18 a 24 anos,Mulher,Branca,Superior,1,0
R_bfwzrv7eYsuK7m1,AM,45 a 59 anos,Homem,Parda,Superior,1,1
R_3fvjzKocKo93aY6,SP,18 a 24 anos,Mulher,Branca,Superior,0,0
R_1KlLwjUe9P6jqyN,SE,18 a 24 anos,Mulher,Parda,Superior,1,1
R_51kTa4ZjrOmA3S1,BA,25 a 34 anos,Homem,Parda,Superior,1,0
R_29aYb229wvDvf6o,SP,18 a 24 anos,Mulher,Branca,Médio,0,0
R_2S0P0cIBaMdVyRv,MG,25 a 34 anos,Mulher,Parda,Médio,0,0
R_uqUBI7VcHluEyFH,SP,35 a 44 anos,Mulher,Branca,Superior,1,0
R_CfO8jYJOqfDK7nj,SP,18 a 24 anos,Mulher,Branca,Médio,0,0
R_1QMeonWsySaCQPz,GO,18 a 24 anos,Mulher,Branca,Superior,0,0
R_2VQmL3lzyYCs6RQ,SP,18 a 24 anos,Homem,Branca,Médio,0,1
R_zU7KOvUc40RSrOV,SP,18 a 24 anos,Mulher,Branca,Médio,0,0
R_vcxiK0ByKZdUlO1,SP,25 a 34 anos,Mulher,Branca,Médio,1,1
R_4OA1Ak77Ezc8k1P,RJ,25 a 34 anos,Mulher,Parda,Médio,1,0
R_2VewB9I721B0Agn,PR,18 a 24 anos,Homem,Branca,Superior,0,0
R_1l9MQvoOQiveMm0,SP,45 a 59 anos,Mulher,Branca,Médio,0,0
R_55szM6d08dFfLhf,CE,18 a 24 anos,Mulher,Parda,Médio,0,0
R_un4lVTsEUnyxmZb,CE,25 a 34 anos,Homem,Branca,Superior,0,0
R_wNMvANFVNPtdr0J,SP,45 a 59 anos,Homem,Preta,Médio,0,0
R_2VDOB4GkXjp92n9,SP,25 a 34 anos,Mulher,Branca,Superior,0,0
R_BEQ6uiGDURFqMNz,SP,60 anos ou mais,Mulher,Branca,Médio,0,1
R_6yziv4PLrJfYwG5,SP,18 a 24 anos,Mulher,Branca,Médio,1,1
R_swbaNl53JQHBbH3,SP,18 a 24 anos,Mulher,Branca,Médio,0,0
R_Yb6VF672QjPi44p,RJ,60 anos ou mais,Mulher,Branca,Médio,1,0
R_1psyABR2SYifSuA,DF,45 a 59 anos,Mulher,Parda,Superior,0,1
R_25GR4sHijtDcYLk,BA,25 a 34 anos,Mulher,Branca,Médio,1,0
R_1MQ8NDrOBzVAYkr,RJ,45 a 59 anos,Homem,Parda,Superior,1,1
R_2EmG0I8SLpTVtIF,PE,35 a 44 anos,Mulher,Branca,Superior,0,0
R_1o7imnTrtOJ1lRb,SP,45 a 59 anos,Mulher,Branca,Médio,1,0
